Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,created_at,edit_history_tweet_ids,text,clean_text,non_english,whitespace
522,522,522,1.5050824942319206e+18,2022-03-19 07:23:24+00:00,['1505082494231920643'],@Donny_beek6 @Everton Please return to Ajax. Ajax needs players like you,  please return to ajax ajax needs players like you,True,False
660,660,660,1.498829960605479e+18,2022-03-02 01:18:04+00:00,['1498829960605478912'],"@rishibagree Mahakaleshwar
Omkareshwar
Bhimashankar
Trayambakeshwar
Grishneshwar"," mahakaleshwar
omkareshwar
bhimashankar
trayambakeshwar
grishneshwar",True,False
793,793,793,1.4951238335225897e+18,2022-02-19 19:51:14+00:00,['1495123833522589696'],@BesuraTaansane And still gets elected. So voters are at fault., and still gets elected so voters are at fault,True,False
910,910,910,1.4925414906182533e+18,2022-02-12 16:49:56+00:00,['1492541490618253313'],@Ankur_IIS @GabbbarSingh Telegram pe sab web series free mein dekho,  telegram pe sab web series free mein dekho,True,False
1048,1048,1048,1.4801380058221158e+18,2022-01-09 11:22:54+00:00,['1480138005822115842'],"Tweet it

via Gaurav Pradhan

Romeo Juliet dumps UK

Juliet went as CEO of EESL (money-minting) same she did in power n education department UK

Romeo next

Efficient Energy System Ltd. CPSE of Power ministry grant certificate to EV

@RajKSinghIndia @narendramodi @AmitShahOffice","tweet it

via gaurav pradhan

romeo juliet dumps uk

juliet went as ceo of eesl moneyminting same she did in power n education department uk

romeo next

efficient energy system ltd cpse of power ministry grant certificate to ev

  ",True,False
1553,1553,1553,1.4294464358004244e+18,2021-08-22 14:12:42+00:00,['1429446435800424453'],"It was sad that Mr Yajuvendra Mahajan was given only 3.2 lakhs as a donation in KBC Marathi aired on 21st Aug 2021. We would have loved to see him get around 12.5 lakhs at least. He takes care of 272 differently abled kids, whose each kid's maintenance is around a lakh/year.",it was sad that mr yajuvendra mahajan was given only 32 lakhs as a donation in kbc marathi aired on 21st aug 2021 we would have loved to see him get around 125 lakhs at least he takes care of 272 differently abled kids whose each kids maintenance is around a lakhyear,True,False
1708,1708,1708,1.422759119937622e+18,2021-08-04 03:19:42+00:00,['1422759119937622016'],@TheWayfarerSoul What took you so long, what took you so long,True,False
1775,1775,1775,1.4199671805867008e+18,2021-07-27 10:25:32+00:00,['1419967180586700806'],@MashraniVivek @Manesha76 Very well said,  very well said,True,False
1823,1823,1823,1.41886514144623e+18,2021-07-24 09:26:25+00:00,['1418865141446230020'],@drpratiksha1 Our fault, our fault,True,False
1858,1858,1858,1.4145115539870228e+18,2021-07-12 09:06:49+00:00,['1414511553987022848'],@EUROfantasy2020 Watching the ugliness of racism and intolerance of England fans - these are supposedly most civilized people on earth., watching the ugliness of racism and intolerance of england fans  these are supposedly most civilized people on earth,True,False
1859,1859,1859,1.4145107954219295e+18,2021-07-12 09:03:48+00:00,['1414510795421929477'],"@EUROfantasy2020 why send Saka, Sancho for penalties when you have Stones, Shaw, Sterling, Walker?", why send saka sancho for penalties when you have stones shaw sterling walker,True,False
1885,1885,1885,1.4137984080164577e+18,2021-07-10 09:53:02+00:00,['1413798408016457729'],"@EUROfantasy2020 *There are approximately 4200 pubs in London.*
*Not a single one has a table available for Sunday's final England vs. Italy*
*An estimated £3 billion will be pumped into the nation’s economy from bets, food, and celebrations in one single day! Economic recovery*"," there are approximately 4200 pubs in london
not a single one has a table available for sundays final england vs italy
an estimated £3 billion will be pumped into the nation’s economy from bets food and celebrations in one single day economic recovery",True,False
